,SLNO,Candidate.Ref,DOJ.Extended,Duration.to.accept.offer,Notice.period,Offered.band,Pecent.hike.expected.in.CTC,Percent.hike.offered.in.CTC,Percent.difference.CTC,Joining.Bonus,Candidate.relocate.actual,Gender,Candidate.Source,Rex.in.Yrs,LOB,Location,Age,Status
3865,5206,2563090,No,3,30,E2,42.86,42.86,0.0,No,No,Male,Direct,9,INFRA,Noida,38,0
3866,5208,2563125,No,3,30,E2,42.86,42.86,0.0,No,No,Male,Direct,6,INFRA,Noida,36,0
3867,5210,2563371,No,27,45,E1,40.0,40.0,0.0,No,No,Male,Direct,3,MMS,Chennai,27,0
3869,5212,2564158,No,5,30,E1,16.67,-1.67,-15.71,No,No,Female,Employee Referral,3,CSMP,Noida,29,0
3870,5213,2564658,Yes,55,30,E2,66.67,58.33,-5.0,No,No,Male,Agency,4,INFRA,Chennai,25,0
3871,5214,2564680,No,3,30,E1,66.67,94.44,16.67,No,No,Female,Direct,3,BFSI,Chennai,27,0
3872,5215,2564692,No,4,90,E1,14.14,7.65,-5.68,No,No,Male,Agency,7,ERS,Bangalore,31,0
3873,5216,2564730,No,0,30,E2,32.25,32.25,0.0,No,No,Male,Direct,4,INFRA,Chennai,29,0
3874,5217,2564740,No,0,30,E1,46.67,44.0,-1.82,No,No,Male,Agency,1,INFRA,Noida,25,0
3875,5219,2564763,No,23,30,E1,17.7,2.65,-12.78,No,No,Male,Agency,3,ERS,Chennai,31,0
3876,5220,2564771,No,14,30,E1,24.24,6.06,-14.63,No,No,Male,Direct,3,BFSI,Chennai,26,0
3878,5222,2564860,No,63,60,E2,18.18,163.64,123.08,No,No,Male,Agency,7,ERS,Noida,32,0
3881,5226,2564915,No,1,30,E2,179.96,179.96,0.0,No,No,Male,Employee Referral,6,INFRA,Chennai,30,0
3882,5227,2564939,No,0,30,E1,25.0,-32.5,-46.0,No,No,Male,Direct,4,INFRA,Kolkata,30,0
3886,5231,2565022,Yes,18,30,E1,7.66,7.66,0.0,No,No,Male,Direct,1,ERS,Bangalore,25,0
3887,5232,2565027,No,1,30,E2,37.5,-7.5,-32.73,No,No,Male,Direct,1,INFRA,Noida,25,0
3889,5234,2565046,Yes,13,30,E1,15.38,15.38,0.0,No,No,Male,Direct,4,AXON,Kolkata,28,0
3890,5235,2565055,No,4,30,E2,53.23,53.23,0.0,No,No,Male,Direct,6,BFSI,Mumbai,31,0
3891,5236,2565072,No,3,30,E1,6.04,6.04,0.0,No,No,Male,Direct,2,ETS,Noida,27,0
3893,5238,2565138,Yes,2,30,E1,16.67,25.0,7.14,No,No,Female,Employee Referral,1,INFRA,Noida,24,0
3894,5239,2565144,No,24,30,E1,23.81,23.81,0.0,No,No,Male,Direct,4,CSMP,Noida,32,0
3895,5240,2565145,No,3,30,E2,22.22,233.33,172.73,No,No,Male,Agency,8,ERS,Noida,33,0
3896,5242,2565174,Yes,26,30,E1,18.46,69.23,42.86,No,No,Male,Direct,1,ERS,Bangalore,25,0
3898,5245,2565201,No,24,30,E1,87.5,87.5,0.0,No,No,Male,Direct,1,ERS,Bangalore,24,0
3899,5246,2565217,Yes,12,45,E2,59.95,179.91,75.0,No,No,Male,Employee Referral,2,INFRA,Noida,29,0
3900,5247,2565223,Yes,41,45,E1,18.42,18.42,0.0,No,No,Male,Direct,2,ERS,Bangalore,25,0
3901,5248,2565238,Yes,28,30,E1,42.0,42.0,0.0,No,No,Male,Direct,3,CSMP,Noida,24,0
3902,5249,2565239,No,21,60,E1,12.5,12.5,0.0,No,No,Male,Direct,1,ERS,Bangalore,25,0
3903,5252,2565264,Yes,26,60,E1,29.53,29.53,0.0,No,No,Male,Direct,3,CSMP,Chennai,27,0
3904,5253,2565266,No,48,30,E1,129.17,129.17,0.0,No,No,Male,Direct,1,ERS,Bangalore,24,0
3905,5254,2565274,No,2,30,E1,103.7,103.7,0.0,No,No,Male,Direct,1,ERS,Bangalore,25,0
3906,5258,2565326,No,8,30,E1,94.44,116.67,11.43,No,No,Female,Direct,2,CSMP,Chennai,28,0
3907,5259,2565334,Yes,37,30,E2,0.0,74.0,74.0,No,No,Female,Employee Referral,5,ERS,Bangalore,35,0
3908,5260,2565344,Yes,3,30,E1,50.0,40.0,-6.67,No,No,Female,Direct,2,CSMP,Chennai,26,0
3909,5262,2565357,Yes,38,30,E1,66.67,54.17,-7.5,No,No,Male,Employee Referral,5,ERS,Chennai,28,0
3910,5263,2565383,Yes,15,30,E1,66.67,50.0,-10.0,No,No,Female,Direct,5,ETS,Bangalore,28,0
3911,5264,2565464,No,40,30,E1,10.0,8.33,-1.52,No,No,Male,Direct,3,BFSI,Chennai,27,0
3912,5268,2565542,No,41,30,E1,41.3,26.09,-10.77,No,No,Male,Direct,6,BFSI,Chennai,34,0
3913,5269,2565582,No,0,30,E1,50.0,-6.67,-37.78,No,No,Male,Direct,2,INFRA,Noida,25,0
3915,5271,2565608,No,7,30,E1,138.1,42.86,-40.0,No,No,Female,Direct,1,INFRA,Noida,25,0
3916,5272,2565665,No,3,60,E2,50.0,25.0,-16.67,No,No,Male,Direct,4,INFRA,Noida,31,0
3917,5274,2565795,No,6,60,E1,10.96,26.03,13.58,Yes,No,Male,Direct,6,AXON,Kolkata,35,0
3918,5275,2565848,Yes,7,30,E1,30.0,10.0,-15.38,No,No,Male,Employee Referral,4,CSMP,Hyderabad,27,0
3919,5276,2565956,No,79,90,E1,41.03,30.77,-7.27,No,No,Male,Employee Referral,3,BFSI,Chennai,27,0
3920,5277,2566069,No,32,60,E2,57.14,57.14,0.0,No,No,Male,Employee Referral,8,CSMP,Chennai,48,0
3921,5278,2567345,No,1,30,E2,25.79,25.79,0.0,No,No,Male,Employee Referral,2,INFRA,Noida,26,0
3922,5279,2568441,No,10,30,E1,28.0,24.0,-3.13,No,No,Male,Employee Referral,3,ERS,Bangalore,30,0
3923,5280,2568713,No,6,30,E2,40.8,40.8,0.0,No,No,Male,Agency,3,INFRA,Noida,28,0
3924,5281,2568772,No,9,30,E1,87.5,150.0,33.33,No,No,Female,Agency,1,ERS,Bangalore,24,0
3925,5282,2568776,No,4,30,E1,87.5,191.67,55.56,No,No,Male,Agency,2,ERS,Bangalore,25,0
3926,5284,2568878,Yes,11,30,E2,20.0,20.0,0.0,No,No,Male,Agency,5,INFRA,Chennai,25,0
3927,5285,2568909,Yes,47,60,E2,31.58,65.79,26.0,No,Yes,Male,Agency,3,INFRA,Noida,28,0
3929,5289,2569148,No,37,30,E2,42.54,40.35,-1.54,No,No,Male,Agency,6,INFRA,Noida,31,0
3931,5291,2569209,Yes,35,30,E2,39.34,47.54,5.88,No,No,Male,Direct,5,ETS,Noida,32,0
3932,5293,2569245,Yes,55,60,E1,44.44,33.33,-7.69,No,No,Female,Direct,3,EAS,Chennai,27,0
3933,5295,2569297,No,0,30,E2,40.0,165.31,89.5,No,No,Male,Employee Referral,2,INFRA,Noida,28,0
3934,5296,2569300,No,44,30,E1,31.05,12.9,-13.85,No,No,Male,Agency,4,ERS,Chennai,28,0
3935,5297,2569305,No,1,30,E1,66.67,50.0,-10.0,No,No,Male,Direct,3,CSMP,Chennai,29,0
3936,5298,2569310,Yes,19,30,E2,40.0,60.0,14.29,No,No,Male,Agency,3,INFRA,Chennai,26,0
3937,5299,2569314,No,16,30,E2,30.0,10.0,-15.38,No,No,Male,Direct,4,INFRA,Noida,29,0
3938,5300,2569353,No,4,30,E1,60.71,42.86,-11.11,No,No,Male,Employee Referral,2,CSMP,Chennai,24,0
3939,5301,2569369,Yes,0,60,E2,41.04,26.94,-10.0,No,No,Male,Direct,6,BFSI,Bangalore,30,0
3940,5302,2569376,Yes,1,45,E1,-4.76,-7.14,-2.5,No,No,Male,Direct,6,ERS,Noida,33,0
3942,5308,2569553,Yes,21,30,E2,50.0,111.67,41.11,No,No,Male,Agency,4,INFRA,Bangalore,32,0
3943,5309,2569556,Yes,71,60,E1,64.71,55.29,-5.71,No,No,Male,Direct,4,ERS,Chennai,26,0
3944,5310,2569563,No,1,60,E2,23.46,23.46,0.0,No,No,Male,Direct,5,INFRA,Noida,32,0
3945,5311,2569572,No,2,30,E2,0.0,0.0,0.0,No,No,Male,Employee Referral,5,Healthcare,Chennai,31,0
3946,5312,2569577,No,1,30,E1,32.53,49.4,12.73,No,No,Male,Direct,3,AXON,Bangalore,33,0
3947,5313,2569620,Yes,3,30,E1,28.76,18.03,-8.33,No,No,Male,Direct,5,EAS,Chennai,28,0
3948,5314,2569676,Yes,5,30,E2,11.11,11.11,0.0,No,No,Male,Employee Referral,8,ETS,Bangalore,34,0
3949,5315,2569682,Yes,24,30,E2,32.08,18.87,-10.0,No,No,Male,Direct,3,INFRA,Bangalore,28,0
3950,5316,2569721,Yes,75,60,E2,13.64,-6.82,-18.0,No,No,Male,Employee Referral,6,ERS,Noida,30,0
3951,5317,2569733,Yes,65,45,E2,28.1,23.97,-3.23,Yes,Yes,Male,Agency,10,AXON,Noida,38,0
3952,5318,2569766,No,2,30,E1,21.21,21.21,0.0,No,No,Male,Direct,10,BFSI,Chennai,33,0
3953,5319,2569794,No,1,45,E2,38.46,38.46,0.0,No,No,Male,Direct,6,CSMP,Noida,30,0
3954,5323,2570170,Yes,57,90,E2,12.75,12.75,0.0,No,No,Male,Employee Referral,6,ETS,Hyderabad,39,0
3955,5324,2570295,No,65,60,E1,50.64,44.23,-4.26,No,No,Female,Employee Referral,3,BFSI,Chennai,25,0
3956,5326,2575820,Yes,3,30,E1,56.25,21.88,-22.0,No,No,Male,Agency,2,ERS,Chennai,25,0
3957,5327,2575898,No,1,30,E1,42.86,42.86,0.0,No,No,Male,Employee Referral,1,INFRA,Noida,22,0
3959,5330,2576050,No,32,30,E1,30.0,40.35,7.96,No,No,Male,Direct,3,BFSI,Bangalore,26,0
3960,5331,2576087,Yes,21,60,E1,-6.25,-6.25,0.0,No,No,Male,Direct,6,BFSI,Bangalore,31,0
3961,5332,2576090,No,38,30,E1,30.95,30.95,0.0,No,No,Female,Direct,3,BFSI,Bangalore,27,0
3963,5335,2576148,No,23,60,E1,31.58,31.58,0.0,No,No,Male,Direct,5,BFSI,Chennai,28,0
3964,5336,2576192,No,12,45,E2,9.38,9.38,0.0,No,No,Male,Direct,9,BFSI,Chennai,33,0
3965,5337,2576200,No,5,60,E1,47.06,47.06,0.0,No,No,Male,Direct,4,ERS,Bangalore,29,0
3966,5339,2576272,No,0,60,E2,35.0,35.0,0.0,No,No,Male,Direct,9,INFRA,Hyderabad,27,0
3967,5340,2576284,Yes,35,30,E2,30.0,33.33,2.56,No,No,Female,Direct,6,BFSI,Chennai,27,0
3968,5343,2576299,Yes,4,60,E2,25.0,25.0,0.0,No,No,Male,Direct,5,INFRA,Bangalore,31,0
3969,5344,2576311,No,0,30,E2,44.44,48.15,2.56,No,Yes,Male,Direct,2,INFRA,Noida,27,0
3970,5345,2576312,Yes,35,30,E1,25.0,27.78,2.22,No,No,Male,Direct,4,AXON,Kolkata,29,0
3971,5346,2576383,Yes,41,30,E2,42.86,42.86,0.0,No,No,Male,Direct,6,INFRA,Chennai,31,0
3973,5349,2577746,No,1,45,E1,51.85,38.89,-8.54,No,No,Male,Direct,6,CSMP,Bangalore,31,0
3974,5350,2578658,Yes,14,60,E1,71.43,52.38,-11.11,No,No,Male,Direct,7,AXON,Noida,32,0
3975,5351,2578659,No,1,60,E1,28.85,25.0,-2.99,No,No,Male,Direct,3,AXON,Bangalore,26,0
3976,5352,2578670,Yes,38,30,E1,200.0,200.0,0.0,No,No,Male,Direct,0,BFSI,Chennai,24,0
3977,5353,2578692,No,12,30,E1,0.0,0.0,0.0,No,No,Male,Agency,3,ERS,Chennai,33,0
3978,5354,2578695,Yes,4,30,E1,12.5,25.0,11.11,No,No,Male,Agency,4,AXON,Bangalore,29,0
3980,5356,2578701,Yes,0,30,E1,32.35,23.53,-6.67,No,No,Male,Agency,3,ERS,Chennai,31,0
3982,5358,2578716,Yes,89,90,E1,56.0,56.0,0.0,No,No,Male,Agency,2,ERS,Chennai,28,0
3983,5359,2578728,No,1,90,E1,85.71,60.71,-13.46,No,No,Male,Direct,3,BFSI,Chennai,26,0
3984,5360,2578733,Yes,6,60,E2,25.0,25.0,0.0,Yes,No,Male,Agency,7,CSMP,Hyderabad,37,0
3985,5361,2578744,Yes,3,90,E3,23.12,23.12,0.0,No,Yes,Male,Direct,8,INFRA,Chennai,35,0
3986,5363,2578756,Yes,13,30,E1,33.33,33.33,0.0,No,No,Male,Direct,3,AXON,Hyderabad,25,0
3988,5366,2578780,Yes,14,30,E1,22.22,42.22,16.36,No,No,Female,Direct,6,CSMP,Noida,30,0
3989,5367,2578797,Yes,27,30,E1,200.0,200.0,0.0,No,No,Male,Direct,0,BFSI,Bangalore,29,0
3991,5369,2578814,No,0,60,E1,15.38,15.38,0.0,No,No,Male,Direct,4,MMS,Chennai,27,0
3992,5370,2578815,Yes,44,30,E2,11.11,11.11,0.0,No,No,Female,Direct,5,Healthcare,Chennai,29,0
3993,5371,2578835,No,1,60,E2,42.86,42.86,0.0,No,No,Male,Employee Referral,3,INFRA,Noida,27,0
3994,5372,2578836,Yes,1,30,E2,66.67,94.44,16.67,No,No,Male,Employee Referral,1,INFRA,Noida,24,0
3995,5373,2578841,No,74,30,E2,37.25,27.45,-7.14,No,No,Male,Direct,10,BFSI,Chennai,33,0
3999,5378,2578919,No,0,60,E1,0.0,-20.0,-20.0,No,No,Male,Agency,5,ERS,Bangalore,27,0
4000,5379,2578921,Yes,8,30,E1,9.09,22.47,12.27,No,No,Male,Direct,3,INFRA,Bangalore,29,0
4003,5383,2578956,No,4,30,E2,27.36,22.64,-3.7,No,No,Male,Direct,9,BFSI,Bangalore,33,0
4004,5384,2578992,Yes,47,60,E2,31.82,4.55,-20.69,No,Yes,Male,Employee Referral,8,ERS,Noida,32,0
4006,5386,2579022,No,3,30,E2,30.0,-16.0,-35.38,No,No,Male,Agency,4,INFRA,Bangalore,31,0
4007,5387,2579041,Yes,0,30,E1,42.86,42.86,0.0,No,No,Male,Direct,3,ETS,Bangalore,27,0
4008,5388,2579062,No,1,30,E1,98.78,46.79,-26.15,No,No,Male,Agency,4,ERS,Chennai,26,0
4009,5389,2579070,Yes,9,30,E1,40.0,40.0,0.0,No,No,Male,Direct,4,CSMP,Noida,29,0
4011,5393,2579161,Yes,1,30,E2,53.06,42.86,-6.67,No,No,Male,Direct,9,BFSI,Bangalore,35,0
4013,5397,2579299,No,1,60,E2,66.67,69.44,1.67,No,No,Male,Direct,5,INFRA,Noida,34,0
4016,5400,2579455,No,3,30,E1,56.25,50.0,-4.0,No,No,Male,Direct,3,BFSI,Bangalore,27,0
4017,5401,2579497,No,3,30,E1,166.67,175.0,3.13,No,No,Female,Direct,2,CSMP,Noida,25,0
4018,5403,2581365,No,2,30,E1,136.11,88.89,-20.0,No,No,Female,Direct,2,CSMP,Noida,26,0
4019,5404,2586006,Yes,68,30,E1,50.0,65.0,10.0,No,No,Female,Agency,2,INFRA,Bangalore,26,0
4020,5405,2586011,Yes,27,30,E1,32.28,42.86,8.0,No,No,Female,Agency,1,INFRA,Noida,24,0
4023,5408,2586154,Yes,36,30,E1,27.78,16.67,-8.7,No,No,Male,Agency,2,ERS,Chennai,24,0
4024,5409,2586208,Yes,68,60,E2,52.94,32.35,-13.46,No,No,Male,Direct,9,INFRA,Noida,35,0
4025,5410,2586214,Yes,63,45,E1,14.29,14.29,0.0,No,No,Male,Direct,5,EAS,Chennai,37,0
4027,5412,2586309,No,1,30,E1,109.21,44.35,-31.0,No,No,Male,Agency,5,ERS,Bangalore,28,0
4028,5413,2586324,No,15,30,E1,40.0,40.0,0.0,No,No,Male,Employee Referral,10,ERS,Chennai,34,0
4030,5415,2586400,Yes,104,30,E1,96.23,69.06,-13.85,No,Yes,Male,Direct,4,ERS,Chennai,29,0
4031,5416,2586408,Yes,28,30,E2,33.33,26.0,-5.5,No,No,Male,Employee Referral,8,ERS,Chennai,31,0
4032,5417,2586409,No,3,30,E2,66.67,93.33,16.0,No,No,Male,Direct,4,INFRA,Chennai,27,0
4033,5418,2586427,Yes,96,90,E3,30.0,26.76,-2.49,No,No,Male,Direct,4,INFRA,Chennai,38,0
4034,5419,2586460,Yes,6,30,E1,20.0,20.0,0.0,No,No,Male,Direct,1,INFRA,Gurgaon,27,0
4035,5420,2586471,No,4,90,E3,38.25,38.25,0.0,No,No,Male,Agency,7,INFRA,Bangalore,43,0
4036,5421,2586502,No,35,45,E2,30.0,21.74,-6.35,No,No,Male,Direct,10,BFSI,Bangalore,33,0
4037,5424,2586549,Yes,5,30,E2,26.29,26.29,0.0,No,No,Female,Direct,7,BFSI,Mumbai,31,0
4038,5425,2586557,No,0,30,E1,31.25,9.38,-16.67,No,No,Male,Agency,3,BFSI,Chennai,25,0
4039,5427,2586575,No,3,30,E1,39.53,16.28,-16.67,No,No,Male,Agency,3,BFSI,Chennai,33,0
4040,5429,2586591,No,51,30,E2,27.95,13.19,-11.54,No,No,Male,Agency,10,BFSI,Chennai,34,0
4043,5432,2586620,Yes,1,30,E2,48.65,44.59,-2.73,No,No,Male,Direct,7,ETS,Hyderabad,30,0
4044,5433,2586622,No,18,30,E1,50.0,94.44,29.63,No,No,Male,Agency,3,BFSI,Chennai,31,0
4047,5436,2586639,Yes,24,30,E1,50.0,30.0,-13.33,No,No,Male,Direct,1,INFRA,Chennai,24,0
4048,5437,2586648,Yes,14,90,E2,37.93,29.31,-6.25,No,No,Female,Direct,8,ETS,Hyderabad,36,0
4049,5438,2586657,No,1,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,4,BFSI,Chennai,25,0
4051,5440,2586668,No,48,30,E1,51.52,21.21,-20.0,No,No,Male,Agency,8,BFSI,Chennai,32,0
4052,5441,2586683,No,2,30,E1,26.32,10.53,-12.5,No,No,Male,Agency,3,BFSI,Chennai,26,0
4053,5442,2586696,Yes,60,30,E1,28.57,26.19,-1.85,No,No,Male,Agency,4,ERS,Bangalore,26,0
4054,5443,2586718,No,50,30,E1,33.33,16.67,-12.5,No,No,Male,Agency,3,BFSI,Chennai,28,0
4056,5449,2586825,No,0,90,E1,42.86,42.86,0.0,No,No,Male,Direct,1,INFRA,Noida,28,0
4057,5450,2586841,No,22,30,E1,31.25,31.25,0.0,No,Yes,Male,Agency,3,BFSI,Chennai,30,0
4058,5451,2586915,No,62,90,E1,0.0,-40.0,-40.0,No,Yes,Male,Agency,3,ERS,Chennai,25,0
4059,5452,2586924,No,56,60,E1,50.0,40.0,-6.67,No,No,Male,Agency,2,ERS,Chennai,24,0
4060,5453,2586930,No,1,30,E1,0.0,-20.0,-20.0,No,No,Male,Agency,5,ERS,Chennai,27,0
4061,5454,2586944,Yes,63,30,E1,80.0,80.0,0.0,No,Yes,Male,Agency,3,ERS,Chennai,26,0
4062,5455,2586949,Yes,55,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,INFRA,Noida,24,0
4063,5456,2586962,Yes,25,30,E1,0.0,0.0,0.0,No,No,Male,Agency,7,ERS,Chennai,27,0
4065,5458,2586985,No,16,30,E1,0.0,-34.0,-34.0,No,No,Male,Employee Referral,2,ERS,Chennai,25,0
4066,5459,2586994,No,3,30,E1,96.08,61.76,-17.5,No,No,Male,Agency,2,ERS,Chennai,24,0
4068,5461,2587076,Yes,0,90,E3,13.43,24.08,9.39,No,No,Male,Direct,9,INFRA,Hyderabad,33,0
4069,5462,2587182,Yes,5,30,E2,14.29,28.57,12.5,No,No,Male,Employee Referral,7,CSMP,Kolkata,49,0
4070,5463,2587188,No,0,30,E1,30.0,30.0,0.0,No,No,Female,Employee Referral,4,ETS,Chennai,29,0
4071,5464,2587207,Yes,54,60,E2,65.39,65.39,0.0,No,No,Male,Employee Referral,6,ETS,Chennai,29,0
4072,5465,2587224,Yes,77,30,E1,29.63,29.63,0.0,No,Yes,Female,Direct,3,ERS,Chennai,25,0
4073,5467,2587252,Yes,92,90,E1,76.63,63.04,-7.69,No,Yes,Male,Direct,3,EAS,Hyderabad,28,0
4074,5468,2587371,Yes,1,60,E2,42.86,42.86,0.0,No,No,Male,Direct,3,INFRA,Noida,27,0
4075,5469,2587504,Yes,57,90,E2,26.33,26.33,0.0,No,No,Male,Employee Referral,7,INFRA,Noida,30,0
4076,5470,2588084,Yes,35,90,E3,49.05,49.05,0.0,No,No,Female,Employee Referral,8,INFRA,Noida,47,0
4077,5471,2588287,Yes,60,60,E2,16.28,10.47,-5.0,No,No,Male,Employee Referral,6,ETS,Hyderabad,31,0
4078,5473,2589984,No,0,90,E1,55.56,55.56,0.0,Yes,Yes,Male,Direct,5,AXON,Noida,27,0
4079,5474,2590018,Yes,33,60,E1,50.0,41.67,-5.56,No,No,Female,Direct,4,AXON,Bangalore,26,0
4080,5475,2590118,No,1,30,E1,33.33,37.78,3.33,No,No,Male,Employee Referral,6,CSMP,Noida,31,0
4084,5479,2590155,Yes,77,90,E1,66.67,48.72,-10.77,No,Yes,Male,Agency,3,ERS,Bangalore,25,0
4087,5482,2590175,Yes,101,90,E1,58.73,45.5,-8.33,No,Yes,Male,Agency,4,ERS,Bangalore,26,0
4090,5485,2590277,Yes,7,30,E1,25.0,21.0,-3.2,No,No,Male,Agency,5,ERS,Chennai,35,0
4092,5489,2590369,Yes,9,30,E2,41.18,41.18,0.0,No,No,Male,Direct,6,BFSI,Mumbai,32,0
4093,5490,2590371,No,25,30,E2,11.11,16.67,5.0,No,No,Male,Agency,9,ERS,Chennai,32,0
4096,5493,2590438,No,0,90,E2,35.71,35.72,0.0,No,Yes,Male,Employee Referral,4,INFRA,Noida,28,0
4097,5494,2590499,No,1,90,E2,36.36,36.36,0.0,No,No,Male,Direct,7,INFRA,Noida,32,0
4099,5496,2590532,No,5,30,E1,22.22,85.53,51.8,No,No,Male,Agency,5,ERS,Hyderabad,31,0
4100,5497,2590541,No,32,30,E1,38.89,38.89,0.0,No,No,Male,Agency,4,BFSI,Bangalore,28,0
4101,5498,2590556,No,28,60,E2,25.0,41.88,13.51,No,No,Male,Direct,6,BFSI,Pune,29,0
4102,5499,2590566,Yes,63,60,E1,70.0,37.68,-19.01,No,No,Female,Direct,2,EAS,Chennai,25,0
4103,5500,2590681,No,3,30,E2,66.67,28.79,-22.73,No,No,Male,Direct,5,INFRA,Noida,29,0
4104,5501,2590707,Yes,34,30,E3,60.0,53.33,-4.17,No,No,Male,Direct,7,INFRA,Noida,33,0
4106,5503,2590754,Yes,33,60,E2,22.22,177.78,127.27,No,Yes,Male,Agency,6,ERS,Noida,31,0
4108,5505,2590784,No,1,30,E2,25.0,23.13,-1.5,No,No,Male,Direct,7,CSMP,Noida,27,0
4109,5506,2590831,Yes,7,60,E1,50.86,50.86,0.0,No,No,Male,Agency,4,BFSI,Bangalore,30,0
4110,5507,2590916,No,2,30,E1,45.83,45.83,0.0,No,No,Male,Direct,5,INFRA,Kolkata,28,0
4112,5509,2590919,Yes,45,30,E1,23.08,28.21,4.17,No,No,Male,Agency,3,BFSI,Bangalore,26,0
4113,5510,2590937,No,0,30,E1,33.33,0.0,-25.0,No,No,Male,Direct,1,INFRA,Ahmedabad,22,0
4114,5511,2590961,Yes,67,60,E3,20.0,32.0,10.0,Yes,Yes,Male,Agency,8,ETS,Bangalore,33,0
4115,5512,2590980,Yes,48,30,E1,30.0,31.58,1.21,No,No,Male,Direct,4,BFSI,Bangalore,30,0
4116,5513,2591008,Yes,1,30,E1,44.74,38.16,-4.55,No,No,Male,Agency,3,ERS,Chennai,28,0
4117,5514,2591059,No,0,60,E2,40.0,45.58,3.99,No,No,Male,Direct,4,INFRA,Chennai,31,0
4118,5515,2591088,Yes,91,90,E2,19.57,28.26,7.27,No,No,Male,Direct,15,AXON,Kolkata,42,0
4119,5516,2591173,Yes,48,30,E1,46.4,35.14,-7.69,No,No,Male,Direct,3,ERS,Chennai,31,0
4120,5518,2591211,Yes,24,30,E2,50.0,50.0,0.0,No,No,Female,Direct,3,INFRA,Noida,41,0
4121,5519,2591215,No,1,30,E1,63.04,57.61,-3.33,No,No,Male,Direct,5,ETS,Noida,35,0
4122,5520,2591248,Yes,54,30,E1,42.86,42.86,0.0,No,No,Female,Direct,3,BFSI,Bangalore,27,0
4123,5521,2591249,No,36,30,E1,25.0,25.0,0.0,No,No,Male,Direct,3,BFSI,Bangalore,27,0
4124,5522,2591250,No,20,30,E1,31.58,18.42,-10.0,No,No,Female,Direct,3,BFSI,Bangalore,26,0
4125,5524,2591254,No,1,30,E1,50.0,50.0,0.0,No,No,Female,Direct,3,BFSI,Bangalore,25,0
4126,5526,2591257,No,4,30,E1,40.63,40.63,0.0,No,No,Female,Direct,3,BFSI,Bangalore,26,0
4127,5528,2591271,Yes,68,30,E3,23.29,16.04,-5.88,No,No,Male,Agency,11,INFRA,Chennai,35,0
4128,5530,2591447,Yes,2,30,E1,117.39,108.7,-4.0,No,No,Male,Agency,6,ERS,Bangalore,32,0
4129,5532,2591566,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,3,INFRA,Noida,28,0
4130,5533,2591607,No,0,30,E2,42.86,42.86,0.0,No,No,Male,Direct,4,INFRA,Noida,30,0
4131,5534,2591655,Yes,78,30,E1,66.67,73.61,4.17,No,Yes,Male,Employee Referral,3,ERS,Chennai,25,0
4132,5535,2591857,No,3,60,E3,36.11,41.67,4.08,No,No,Male,Employee Referral,4,INFRA,Chennai,30,0
4133,5536,2592249,Yes,0,30,E2,64.93,203.82,84.21,No,No,Male,Employee Referral,1,INFRA,Noida,26,0
4134,5537,2592649,No,0,30,E1,25.0,25.0,0.0,No,No,Female,Employee Referral,1,INFRA,Noida,24,0
4135,5538,2593839,No,31,30,E1,81.82,81.82,0.0,No,No,Male,Direct,3,BFSI,Bangalore,30,0
4136,5539,2593842,No,5,45,E1,36.36,45.45,6.67,No,Yes,Male,Direct,2,ERS,Chennai,24,0
4137,5540,2593844,No,0,30,E1,0.0,0.0,0.0,No,No,Male,Direct,3,BFSI,Bangalore,26,0
4139,5543,2593886,No,7,30,E1,75.0,50.0,-14.29,No,No,Male,Employee Referral,3,CSMP,Bangalore,26,0
4141,5545,2593903,No,18,30,E1,24.28,14.72,-7.69,No,No,Female,Agency,6,BFSI,Chennai,32,0
4142,5546,2593929,No,1,45,E2,33.33,88.89,41.67,No,No,Male,Agency,8,ERS,Noida,30,0
4143,5547,2593931,No,28,30,E1,19.05,19.05,0.0,No,No,Male,Direct,3,AXON,Kolkata,28,0
4145,5549,2593947,No,63,30,E3,33.33,33.33,0.0,No,Yes,Male,Direct,5,INFRA,Noida,31,0
4147,5552,2593959,Yes,67,45,E1,100.0,50.0,-25.0,No,No,Male,Direct,4,CSMP,Chennai,29,0
4148,5553,2593962,Yes,35,60,E2,57.14,50.0,-4.55,No,No,Male,Direct,2,INFRA,Noida,28,0
4150,5555,2593969,No,0,60,E2,44.89,44.89,0.0,No,No,Male,Direct,5,INFRA,Noida,29,0
4151,5556,2593976,Yes,0,30,E2,44.44,-11.11,-38.46,No,No,Male,Direct,3,INFRA,Noida,31,0
4152,5557,2593977,Yes,10,30,E2,17.86,14.29,-3.03,No,No,Male,Agency,8,AXON,Noida,33,0
4153,5558,2593985,No,36,60,E1,25.0,42.05,13.64,No,Yes,Male,Agency,3,ERS,Chennai,28,0
4154,5559,2593987,Yes,96,90,E1,36.36,36.36,0.0,No,Yes,Female,Direct,3,AXON,Noida,26,0
4155,5560,2593990,No,33,30,E1,86.05,86.05,0.0,No,No,Male,Direct,6,ETS,Noida,34,0
4156,5563,2594032,Yes,44,60,E3,26.32,15.79,-8.33,No,No,Male,Agency,6,INFRA,Noida,37,0
4158,5565,2594061,No,8,30,E1,11.54,11.54,0.0,No,No,Male,Direct,4,ETS,Chennai,29,0
